,R_mean,R_std,R_sum,G_mean,G_std,G_sum,B_mean,B_std,B_sum,total_mean,total_std,total_sum,class
840,197.46641820790816,37.04772851271743,9908075,181.98435507015307,48.447969720763076,9131247,186.98577008928572,42.34420015383222,9382198,188.81218112244898,43.349825259461745,28421520,cellSpace
841,173.2501594387755,49.63098120383266,8693000,161.5919961734694,60.24769063156039,8108040,170.58972417091837,54.99590228201506,8559510,168.47729326105443,55.35406555796975,25360550,cellSpace
842,195.5576769770408,35.495431864558626,9812302,182.23244180484693,48.05481606045905,9143695,186.6852877869898,40.22318440309367,9367121,188.15846885629253,41.94890516359523,28323118,cellSpace
843,180.51981026785714,46.95286014700713,9057762,169.45294563137756,55.62534268565541,8502471,190.8897480867347,45.7660412778707,9578084,180.28750132865648,50.40876101118609,27138317,cellSpace
844,198.6502311862245,28.764567473590255,9967474,191.1749641262755,34.652108654543696,9592395,196.53790656887756,27.832755286798164,9861486,195.45436729379253,30.72746945787312,29421355,cellSpace
845,185.96436543367346,57.627438269714226,9330948,182.69210379464286,62.9036091555389,9166759,190.7659239477041,52.668580653832336,9571871,186.47413105867346,57.97915761096798,28069578,cellSpace
846,120.24204799107143,57.52810068658166,6033265,100.04412468112245,64.70392215939026,5019814,121.39933434311224,63.48628294494267,6091333,113.89516900510205,62.756234305782485,17144412,cellSpace
847,128.21189413265307,46.05658960000382,6433160,120.74681122448979,49.85271944635023,6058592,145.22331393494898,45.028712576543846,7286725,131.3940064306973,48.12769953836109,19778477,cellSpace
848,202.85148278061226,26.323805699895512,10178276,188.98403619260205,32.61245391396946,9482463,193.21484375,28.350064613535846,9694748,195.01678757440476,29.784025920860184,29355487,cellSpace
849,187.4664979272959,31.760989230852825,9406319,173.00476323341837,39.96547753452826,8680687,176.6400071747449,36.73025694903372,8863089,179.03708944515307,36.82526984432466,26950095,cellSpace
850,183.48852040816325,24.260530283462224,9206720,190.06752232142858,26.416053093085672,9536828,201.45388233418367,22.446215160030643,10108150,191.6699750212585,25.530652571703808,28851698,cellSpace
851,138.5320671237245,52.30092167375319,6950985,120.2646484375,58.94672351875132,6034399,154.06226084183675,54.52869937626108,7730228,137.61965880102042,57.025928935075164,20715612,cellSpace
852,201.3690409757653,47.415578398470714,10103893,200.7969347895408,51.54211911070485,10075187,204.18371332908163,38.51760684880547,10245122,202.1165630314626,46.16999918026255,30424202,cellSpace
853,120.29916693239795,45.728288131122255,6036131,104.0342793367347,47.362569094196985,5220024,127.97195870535714,43.24066941650627,6421121,117.4351349914966,46.557688385515675,17677276,cellSpace
854,183.1927415497449,35.36533347716913,9191879,174.49770806760205,43.49280719006944,8755597,194.8747409119898,37.47474057515144,9778035,184.18839684311226,39.81534879232832,27725511,cellSpace
855,197.74693080357142,43.92499997444256,9922150,188.72708067602042,55.882860927689784,9469570,186.07079081632654,51.52212986564576,9336288,190.8482674319728,50.93049154318748,28728008,cellSpace
856,183.20113201530611,36.534574788391076,9192300,187.16515864158163,38.891145675342514,9391199,197.1902303890306,31.30874683800329,9894217,189.18550701530611,36.20084779604442,28477716,cellSpace
857,196.0022122130102,54.57452995567529,9834607,191.47518734056123,62.76201346823597,9607459,194.78324298469389,49.51679953026341,9773444,194.08688084608843,55.91761036748691,29215510,cellSpace
858,188.3404615752551,31.597537790622315,9450171,177.50304926658163,41.4061658964929,8906393,185.11272321428572,36.934279907915446,9288216,183.65207801870747,37.14359962967638,27644780,cellSpace
859,157.3125597895408,42.87621486089467,7893315,149.0303332270408,47.07589430350122,7477746,162.09207589285714,39.062805256300905,8133132,156.14498963647958,43.46554869698988,23504193,cellSpace
860,137.47582509566325,28.36704474273352,6897987,122.28099091198979,30.228855544531022,6135571,163.53386080994898,25.261927651104365,8205475,141.096892272534,32.79840317391529,21239033,cellSpace
861,191.38418765943877,68.1722025396636,9602893,190.98286033163265,71.25449676720828,9582756,198.22632334183675,51.21490092592274,9946204,193.53112377763605,64.24112510882372,29131853,cellSpace
862,204.82738759566325,40.38884905452173,10277419,193.02967554209184,51.37073741819352,9685457,196.77196269132654,46.59085109625717,9873230,198.20967527636054,46.59618270408273,29836106,cellSpace
863,142.48549107142858,62.95043449726183,7149352,126.55058195153062,73.07950377248052,6349802,143.1182238520408,68.74730727219017,7181100,137.384765625,68.81335338288763,20680254,cellSpace
864,152.28316326530611,73.59247797444908,7640960,141.7571348852041,84.09224073292965,7112806,159.17338966836735,67.62734667258826,7986684,151.0712292729592,75.75108783645274,22740450,cellSpace
